logical_group_id,partition,test_domain,class_index,class_name,support,precision,recall,f1
ablation_channels__size_timing__cnn1d,combined,inner,7,Network,84447,0.999331758191929,0.991698935426954,0.995500716200393
ablation_channels__size_timing__cnn1d,combined,inner,8,SocialNetwork,3883,0.961490057890763,0.983775431367499,0.972505091649694
ablation_channels__size_timing__cnn1d,combined,inner,9,SoftwareUpdate,737,0.805882352941176,0.92944369063772,0.863264020163831
ablation_channels__size_timing__cnn1d,combined,inner,10,System,1230,0.927272727272727,0.995121951219512,0.96
ablation_channels__size_timing__cnn1d,combined,inner,11,Unspecified,5680,0.965373238211241,0.976760563380282,0.971033517108602
ablation_channels__size_timing__cnn1d,combined,inner,12,VoIP,1569,0.717043314500942,0.97068196303378,0.824803682642838
ablation_channels__size_timing__cnn1d,combined,inner,13,Web,110690,0.993846595530887,0.938223868461469,0.965234565606339
ablation_channels__size_timing__cnn1d,combined,outer,0,Chat,3985,0.790794979079498,0.948557089084065,0.862521391899601
ablation_channels__size_timing__cnn1d,combined,outer,1,Cloud,5778,0.859040144883791,0.985115957078574,0.91776846178652
ablation_channels__size_timing__cnn1d,combined,outer,2,Collaborative,6632,0.644014352506252,0.893094089264174,0.748373238991724
ablation_channels__size_timing__cnn1d,combined,outer,3,ConnCheck,281,0.595078299776286,0.94661921708185,0.730769230769231
ablation_channels__size_timing__cnn1d,combined,outer,4,Database,327,0.908045977011494,0.966360856269113,0.936296296296296
ablation_channels__size_timing__cnn1d,combined,outer,5,Download,651,0.698992443324937,0.852534562211982,0.768166089965398
ablation_channels__size_timing__cnn1d,combined,outer,6,Email,391,0.805555555555556,0.964194373401535,0.877764842840512
ablation_channels__size_timing__cnn1d,combined,outer,7,Network,84447,0.999292353823088,0.986606984262318,0.992909153746231
ablation_channels__size_timing__cnn1d,combined,outer,8,SocialNetwork,3883,0.949950199203187,0.982487767190317,0.965945056336245
